Date,Open,High,Low,Close Close price adjusted for splits.,Adj Close Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Nov 22, 2024",145.93,147.16,141.10,141.95,141.95,235772200
"Nov 21, 2024",149.35,152.89,140.70,146.67,146.67,400946600
"Nov 20, 2024",147.41,147.56,142.73,145.89,145.89,309871700
"Nov 19, 2024",141.32,147.13,140.99,147.01,147.01,227834900
"Nov 18, 2024",139.50,141.55,137.15,140.15,140.15,221866000
"Nov 15, 2024",144.87,145.24,140.08,141.98,141.98,250132900
"Nov 14, 2024",147.64,149.00,145.55,146.76,146.76,194463300
"Nov 13, 2024",149.07,149.33,145.90,146.27,146.27,191903300
"Nov 12, 2024",146.78,149.65,146.01,148.29,148.29,198634700
"Nov 11, 2024",148.68,148.85,143.57,145.26,145.26,182325600
"Nov 8, 2024",148.77,149.77,146.26,147.63,147.63,175665800
"Nov 7, 2024",146.39,148.93,146.17,148.88,148.88,207323300
"Nov 6, 2024",142.96,146.49,141.96,145.61,145.61,242043900
"Nov 5, 2024",137.45,140.37,137.33,139.91,139.91,160537400
"Nov 4, 2024",137.21,138.96,135.57,136.05,136.05,187528200
"Nov 1, 2024",134.70,137.31,134.57,135.40,135.40,207127800
"Oct 31, 2024",137.60,137.61,132.11,132.76,132.76,270039600
"Oct 30, 2024",139.54,140.33,136.81,139.34,139.34,179418100
"Oct 29, 2024",140.29,142.26,138.90,141.25,141.25,157593600
"Oct 28, 2024",143.00,143.14,140.05,140.52,140.52,173586700
"Oct 25, 2024",140.93,144.13,140.80,141.54,141.54,205122100
"Oct 24, 2024",140.82,141.35,138.46,140.41,140.41,172354900
"Oct 23, 2024",142.03,142.43,137.46,139.56,139.56,285930000
"Oct 22, 2024",142.91,144.42,141.78,143.59,143.59,226311600
"Oct 21, 2024",138.13,143.71,138.00,143.71,143.71,264554500
"Oct 18, 2024",138.67,138.90,137.28,138.00,138.00,176090200
"Oct 17, 2024",139.34,140.89,136.87,136.93,136.93,306435900
"Oct 16, 2024",133.98,136.62,131.58,135.72,135.72,264879700
"Oct 15, 2024",137.87,138.57,128.74,131.60,131.60,377831000
"Oct 14, 2024",136.47,139.60,136.30,138.07,138.07,232347700
"Oct 11, 2024",134.01,135.78,133.66,134.80,134.80,170209500
"Oct 10, 2024",131.91,135.00,131.00,134.81,134.81,242311300
"Oct 9, 2024",134.11,134.52,131.38,132.65,132.65,246191600
"Oct 8, 2024",130.26,133.48,129.42,132.89,132.89,285722500
"Oct 7, 2024",124.99,130.64,124.95,127.72,127.72,346250200
"Oct 4, 2024",124.94,125.04,121.83,124.92,124.92,243678100
"Oct 3, 2024",120.92,124.36,120.34,122.85,122.85,277118000
"Oct 2, 2024",116.44,119.38,115.14,118.85,118.85,221845900
"Oct 1, 2024",121.77,122.44,115.79,117.00,117.00,302094500
"Sep 30, 2024",118.31,121.50,118.15,121.44,121.44,226553700
"Sep 27, 2024",123.97,124.03,119.26,121.40,121.40,271009200
"Sep 26, 2024",126.80,127.67,121.80,124.04,124.04,302582900
"Sep 25, 2024",122.02,124.94,121.61,123.51,123.51,284692900
"Sep 24, 2024",116.52,121.80,115.38,120.87,120.87,354966800
"Sep 23, 2024",116.55,116.99,114.86,116.26,116.26,206228500
"Sep 20, 2024",117.06,118.62,115.39,116.00,116.00,382462400
"Sep 19, 2024",117.35,119.66,117.25,117.87,117.87,293506400
"Sep 18, 2024",115.89,117.70,113.22,113.37,113.37,310318900
"Sep 17, 2024",118.17,118.80,114.83,115.59,115.59,231925900
"Sep 16, 2024",116.79,118.18,114.36,116.78,116.78,248772300
"Sep 13, 2024",119.08,119.96,117.60,119.10,119.10,238358300
"Sep 12, 2024",0.01 Dividend,0.01 Dividend,0.01 Dividend,0.01 Dividend,0.01 Dividend,0.01 Dividend
"Sep 12, 2024",116.84,120.79,115.38,119.14,119.14,367100500
"Sep 11, 2024",109.39,117.19,107.42,116.91,116.90,441422400
"Sep 10, 2024",107.81,109.40,104.95,108.10,108.09,268283700
"Sep 9, 2024",104.88,106.55,103.69,106.47,106.46,273912000
"Sep 6, 2024",108.04,108.15,100.95,102.83,102.82,413638100
"Sep 5, 2024",104.99,109.65,104.76,107.21,107.20,306850700
"Sep 4, 2024",105.41,113.27,104.12,106.21,106.20,372470300
"Sep 3, 2024",116.01,116.21,107.29,108.00,107.99,477155100
"Aug 30, 2024",119.53,121.75,117.22,119.37,119.36,333751600
"Aug 29, 2024",121.36,124.43,116.71,117.59,117.58,453023300
"Aug 28, 2024",128.12,128.33,122.64,125.61,125.60,448101100
"Aug 27, 2024",125.05,129.20,123.88,128.30,128.29,303134600
"Aug 26, 2024",129.57,131.26,124.37,126.46,126.45,331964700
"Aug 23, 2024",125.86,129.60,125.22,129.37,129.36,323230300
"Aug 22, 2024",130.02,130.75,123.10,123.74,123.73,376189100
"Aug 21, 2024",127.32,129.35,126.66,128.50,128.49,257883600
"Aug 20, 2024",128.40,129.88,125.89,127.25,127.24,300087400
"Aug 19, 2024",124.28,130.00,123.42,130.00,129.99,318333600
"Aug 16, 2024",121.94,125.00,121.18,124.58,124.57,302589900
"Aug 15, 2024",118.76,123.24,117.47,122.86,122.85,318086700
"Aug 14, 2024",118.53,118.60,114.07,118.08,118.07,339246400
"Aug 13, 2024",112.44,116.23,111.58,116.14,116.13,312646700
"Aug 12, 2024",106.32,111.07,106.26,109.02,109.01,325559900
"Aug 9, 2024",105.64,106.60,103.43,104.75,104.74,290844200
"Aug 8, 2024",102.00,105.50,97.52,104.97,104.96,391910000
"Aug 7, 2024",107.81,108.80,98.69,98.91,98.90,411440400
"Aug 6, 2024",103.84,107.71,100.55,104.25,104.24,409012100
"Aug 5, 2024",92.06,103.41,90.69,100.45,100.44,552842400
"Aug 2, 2024",103.76,108.72,101.37,107.27,107.26,482027500
"Aug 1, 2024",117.53,120.16,106.81,109.21,109.20,523462300
"Jul 31, 2024",112.90,118.34,110.88,117.02,117.01,473174200
"Jul 30, 2024",111.52,111.99,102.54,103.73,103.72,486833300
"Jul 29, 2024",113.69,116.28,111.30,111.59,111.58,248152100
"Jul 26, 2024",116.19,116.20,111.58,113.06,113.05,293399100
"Jul 25, 2024",113.04,116.63,106.30,112.28,112.27,460067000
"Jul 24, 2024",119.17,119.95,113.44,114.25,114.24,327776900
"Jul 23, 2024",122.78,124.69,122.10,122.59,122.58,173911000
"Jul 22, 2024",120.35,124.07,119.86,123.54,123.53,258068900
"Jul 19, 2024",120.35,121.60,117.37,117.93,117.92,217223800
"Jul 18, 2024",121.85,122.40,116.56,121.09,121.08,320979500
"Jul 17, 2024",121.35,121.85,116.72,117.99,117.98,390086200
"Jul 16, 2024",128.44,129.04,124.58,126.36,126.35,214769500
